sqft_living,price
1180,221900
2570,538000
770,180000
1960,604000
1680,510000
5420,1225000
1715,257500
1060,291850
1780,229500
1890,323000
3560,662500
1160,468000
1430,310000
1370,400000
1810,530000
2950,650000
1890,395000
1600,485000
1200,189000
1250,230000
1620,385000
3050,2000000
2270,285000
1070,252700
2450,329000
1710,233000
2450,937000
1400,667000
1520,438000
2570,719000
2320,580500
1190,280000
2330,687500
1090,535000
2060,322500
2300,696000
1660,550000
2360,640000
1220,240000
2620,605000
2570,625000
4220,775000
3595,861990
1570,685000